name,loc,val,date
42,35.7162310714286 139.780267658,45.7857142857143,"May 1, 2011 11:26 AM"
178,35.7189246629214 139.783239241,44.8539325842697,"May 1, 2011 11:27 AM"
232,35.7223310704023 139.785665574,51.4310344827586,"May 1, 2011 11:28 AM"
33,35.7242802020202 139.787328787,48.8181818181818,"May 1, 2011 11:29 AM"
297,35.7266913411897 139.789014169,49.5824915824916,"May 1, 2011 11:29 AM"
76,35.7325637938597 139.793879254,47.8026315789474,"May 1, 2011 11:31 AM"
253,35.735628372859 139.7956644795,51.9644268774704,"May 1, 2011 11:31 AM"
133,35.7408686842105 139.797669223,52.781954887218,"May 1, 2011 11:33 AM"
5,35.7412326666666 139.799889333,45,"Jul 7, 2011 7:33 PM"
80,35.7439755625 139.799344854167,46.725,"Jul 7, 2011 11:54 AM"
249,35.7447408032129 139.796488821,45.9718875502008,"May 1, 2011 11:35 AM"
8,35.74391625 139.790015833334,42.75,"Jul 13, 2011 10:17 AM"
232,35.7306554813218 139.790979238,49.1379310344828,"May 1, 2011 11:29 AM"
172,35.708998381783 139.7766647189,46.3488372093023,"May 1, 2011 11:24 AM"
227,35.7039044052864 139.776881042,42.3303964757709,"Jun 17, 2011 3:44 AM"
23,35.6904733333334 139.778219130,54.2173913043478,"Sep 18, 2011 3:49 AM"
101,35.6850889273928 139.777279059,43.6534653465347,"May 6, 2011 1:43 AM"
128,35.6771576432291 139.760413984,40.3203125,"Jul 7, 2011 11:27 AM"
277,35.6734528941035 139.761834422,40.9602888086643,"Apr 23, 2011 10:32 PM"
87,35.6731681992338 139.772231685,39.183908045977,"Apr 24, 2011 10:58 AM"
498,35.6822335107095 139.779407981,42.5381526104418,"Apr 24, 2011 10:59 AM"
31,35.6959179032259 139.776055053,40.4838709677419,"Jul 13, 2011 12:16 PM"
25,35.7018921333334 139.778409533,40.72,"Jun 17, 2011 1:21 PM"
12,35.7498449999999 139.794279722,38.75,"Jan 21, 2012 6:33 PM"
2,35.7524233333335 139.793035833,26.5,"Jan 21, 2012 6:33 PM"
31,35.754552204301 139.7894267204,39.1290322580645,"Jul 13, 2011 7:06 AM"
54,35.7582055555556 139.789096790,39.6851851851852,"Jul 13, 2011 7:08 AM"
117,35.7612555128205 139.790181495,42,"Apr 24, 2011 11:09 AM"
85,35.7619553333333 139.795667,45.4823529411765,"Apr 24, 2011 11:09 AM"
159,35.7621660377359 139.801841436,45.5408805031447,"Apr 24, 2011 11:09 AM"
63,35.7680181746031 139.803497645,53.3492063492063,"May 1, 2011 11:39 AM"
60,35.7688421388889 139.797877666,38.0666666666667,"Jan 21, 2012 6:23 PM"
97,35.7579142611684 139.802248711,49.8041237113402,"May 1, 2011 11:38 AM"
147,35.7539681292517 139.800710283,53.3945578231293,"May 1, 2011 11:36 AM"
83,35.7492822690763 139.799390080,61.0361445783133,"May 1, 2011 11:35 AM"
386,35.6910911010363 139.766824024,41.919689119171,"May 1, 2011 10:28 AM"
326,35.6904833537833 139.761461600,44.0337423312883,"May 1, 2011 10:28 AM"
268,35.6859367661691 139.762373302,40.9589552238806,"May 1, 2011 10:26 AM"
203,35.682312635468 139.7610227832,45.6995073891626,"May 1, 2011 10:26 AM"
321,35.6775664330218 139.755757673,41.9314641744548,"Apr 23, 2011 10:33 PM"
240,35.6771480972223 139.749743201,40.4166666666667,"May 22, 2011 8:36 AM"
534,35.6728715980025 139.748942865,40.5805243445693,"Apr 23, 2011 10:36 PM"
627,35.6720373338649 139.744247993,41.0510366826156,"May 22, 2011 8:35 AM"
910,35.6697040915751 139.744131232,38.8593406593407,"May 22, 2011 8:35 AM"
769,35.6682379778934 139.739894282,37.2067620286086,"May 22, 2011 8:35 AM"
831,35.6643441255516 139.737917133,38.1468110709988,"May 22, 2011 8:34 AM"
503,35.6681658979457 139.722498923,39.1153081510934,"Jun 17, 2011 12:52 PM"
2503,35.6688323884671 139.715481188,37.545745105873,"May 6, 2011 1:53 AM"
519,35.673228879255 139.7163864515,38.1753371868979,"May 6, 2011 1:53 AM"
1141,35.6733618141981 139.710257810,38.9219982471516,"May 11, 2011 8:57 AM"
555,35.6763291381381 139.711657156,37.6846846846847,"May 11, 2011 8:58 AM"
530,35.6774257232704 139.715446764,37.8849056603774,"May 11, 2011 8:59 AM"
944,35.6812848905368 139.715116334,38.3569915254237,"May 11, 2011 9:02 AM"
706,35.6870606704439 139.715828338,39.9008498583569,"Nov 1, 2011 1:15 AM"
775,35.6908310408602 139.715094180,40.0348387096774,"Jul 13, 2011 6:28 AM"
785,35.6915276454352 139.709559796,38.5732484076433,"Jul 13, 2011 6:26 AM"
2333,35.6914658315474 139.704589189,38.8349764252036,"Jun 17, 2011 6:04 AM"
957,35.6946419104841 139.705179374,38.8213166144201,"Jun 17, 2011 6:03 AM"
239,35.696405027894 139.7088850418,41.2217573221757,"Jun 17, 2011 6:03 AM"
496,35.6998011995968 139.708684314,40.5443548387097,"Jun 17, 2011 5:59 AM"
380,35.6986976666667 139.704752311,38.5526315789474,"Oct 31, 2011 5:45 AM"
515,35.6990277087378 139.698221524,40.4038834951456,"Oct 31, 2011 5:46 AM"
1255,35.6945216560427 139.699659524,37.806374501992,"Oct 30, 2011 11:54 PM"
672,35.6955360391865 139.692754898,39.9627976190476,"Oct 30, 2011 11:52 PM"
2065,35.6959766295399 139.688021599,39.225181598063,"Aug 7, 2011 4:11 PM"
1297,35.6910037856592 139.687413523,40.1040863531226,"Aug 6, 2011 11:30 PM"
1034,35.6901334622824 139.682550299,39.3771760154739,"Aug 6, 2011 11:31 PM"
675,35.6881158691358 139.681268733,38.3896296296296,"Aug 7, 2011 4:40 PM"
591,35.6870254483926 139.676252780,37.6362098138748,"Nov 1, 2011 3:46 AM"
1280,35.6864604023437 139.670161796,38.346875,"Nov 1, 2011 3:44 AM"
603,35.690878941404 139.6694084217,39.2205638474295,"Aug 7, 2011 4:38 PM"
524,35.6902275254453 139.664590788,38.6202290076336,"Aug 7, 2011 4:36 PM"
56,35.6893355952381 139.659723214,40.5178571428571,"Aug 7, 2011 4:36 PM"
674,35.6867196958457 139.658827336,37.0637982195846,"Aug 7, 2011 4:35 PM"
599,35.6872391903172 139.653879454,38.0734557595993,"Aug 7, 2011 4:35 PM"
959,35.6834891032326 139.657700149,37.5672575599583,"Oct 31, 2011 7:11 AM"
431,35.6825629350348 139.653343549,39.2575406032483,"Nov 7, 2011 3:26 AM"
344,35.6830621947674 139.646868551,36.875,"Oct 31, 2011 6:52 AM"
427,35.6815816627634 139.642123220,39.9882903981265,"Oct 31, 2011 6:52 AM"
1089,35.6807644046526 139.637054750,40.8650137741047,"Oct 8, 2011 11:29 PM"
500,35.68274185 139.62969339,39.966,"Oct 8, 2011 11:28 PM"
124,35.6819733064516 139.625513924,39.5806451612903,"Nov 7, 2011 1:24 AM"
519,35.6852742357097 139.625047318,36.9826589595376,"Oct 8, 2011 11:26 PM"
65,35.6849385897436 139.628955897,35.8461538461538,"Oct 8, 2011 11:28 PM"
135,35.6779362839506 139.636535913,42.162962962963,"Oct 8, 2011 11:30 PM"
484,35.677422827135 139.6418453822,40.5268595041322,"Oct 8, 2011 11:31 PM"
156,35.6775492307692 139.647179935,40.7564102564103,"Oct 8, 2011 11:34 PM"
98,35.6739370578231 139.647759659,40.9591836734694,"Oct 8, 2011 11:35 PM"
237,35.6720756540085 139.652928361,41.1518987341772,"Jul 6, 2011 12:42 AM"
278,35.6701093884893 139.653770809,39.5251798561151,"Jul 6, 2011 12:42 AM"
691,35.6728864712976 139.659580354,38.6136034732272,"Jul 6, 2011 12:41 AM"
482,35.6736522821577 139.664987908,38.0435684647303,"Jul 6, 2011 12:41 AM"
1189,35.6734133010934 139.670917943,39.0580319596299,"Jul 6, 2011 12:41 AM"
1012,35.6770761231884 139.670701378,38.5918972332016,"Jul 6, 2011 12:41 AM"
348,35.6772861590038 139.676356925,37.514367816092,"Jul 6, 2011 12:40 AM"
460,35.6782835978261 139.681735028,37.954347826087,"Jul 6, 2011 12:40 AM"
150,35.6778443 139.688045111111,37.5466666666667,"Jul 6, 2011 12:39 AM"
992,35.6823775840054 139.687337903,35.8608870967742,"Jul 6, 2011 12:39 AM"
1155,35.6821858282827 139.692673810,37.9151515151515,"Aug 7, 2011 4:50 PM"
1435,35.6856998977931 139.691554837,39.2724738675958,"Aug 7, 2011 4:50 PM"
623,35.6869053504548 139.698920251,38.3531300160514,"Nov 1, 2011 1:11 AM"
950,35.6911971684211 139.698564042,36.4926315789474,"Oct 30, 2011 11:54 PM"
717,35.6863451557415 139.703265643,38.9930264993027,"Jun 17, 2011 6:08 AM"
1230,35.6812544593496 139.703945539,36.8593495934959,"Jun 17, 2011 6:10 AM"
606,35.6774600275028 139.705911925,40.1534653465347,"Jun 17, 2011 6:10 AM"
736,35.6732135099638 139.705219069,38.3885869565217,"Jun 17, 2011 6:13 AM"
2317,35.6691597424832 139.704425451,42.0586965904186,"May 22, 2011 8:41 PM"
382,35.6683002705061 139.699011186,39.848167539267,"Aug 7, 2011 5:10 PM"
1582,35.6682041171514 139.692649204,36.9203539823009,"Aug 7, 2011 5:09 PM"
1358,35.6681558541974 139.687816443,37.5706921944035,"Aug 7, 2011 5:08 PM"
207,35.6729799597423 139.691381505,37.207729468599,"Sep 22, 2011 4:38 PM"
404,35.6729992945544 139.687580957,37.9108910891089,"Aug 7, 2011 4:47 PM"
341,35.6685626490714 139.681204169,40.4604105571848,"Oct 2, 2011 1:47 PM"
258,35.6678715439276 139.674975872,37.3294573643411,"Oct 2, 2011 1:47 PM"
864,35.6690452391976 139.672148846,38.5868055555556,"Oct 8, 2011 9:44 PM"
35,35.6733804285714 139.674300476,40.7428571428571,"Nov 14, 2011 6:19 AM"
194,35.681919475945 139.6824554982,40.319587628866,"Jul 6, 2011 1:24 AM"
257,35.6780178923476 139.693660194,36.1011673151751,"Sep 22, 2011 4:38 PM"
431,35.6812658700696 139.698989102,37.3758700696056,"Sep 22, 2011 4:37 PM"
1295,35.6727359279279 139.721972483,36.9274131274131,"May 6, 2011 1:52 AM"
1094,35.6726375380866 139.725797215,38.4204753199269,"Jun 17, 2011 12:53 PM"
464,35.6732010668103 139.732524741,39.4504310344828,"Jul 13, 2011 12:30 PM"
532,35.677264273183 139.7336642105,38.8045112781955,"May 11, 2011 9:03 AM"
1042,35.6780014219449 139.737751833,40.3829174664107,"May 11, 2011 9:04 AM"
881,35.6730453575483 139.738351048,39.9432463110102,"Sep 22, 2011 5:02 PM"
